DATE,ISO3C,CASES,DEATHS,REPRODUCTION_RATE,ICU_PATIENTS,HOSP_PATIENTS,TESTS,TESTS_UNITS,PEOPLE_VACCINATED,PEOPLE_FULLY_VACCINATED,VACCINATIONS
2020-02-24,AFG,1,,,,,,,,,
2020-02-25,AFG,0,,,,,,,,,
2020-02-26,AFG,0,,,,,,,,,
2020-02-27,AFG,0,,,,,,,,,
2020-02-28,AFG,0,,,,,,,,,
2020-02-29,AFG,0,,,,,,,,,
2020-03-01,AFG,0,,,,,,,,,
2020-03-02,AFG,0,,,,,,,,,
2020-03-03,AFG,1,,,,,,,,,
2020-03-04,AFG,2,,,,,,,,,
2020-03-05,AFG,0,,,,,,,,,
2020-03-06,AFG,0,,,,,,,,,
2020-03-07,AFG,0,,,,,,,,,
2020-03-08,AFG,1,,,,,,,,,
2020-03-09,AFG,2,,,,,,,,,
2020-03-10,AFG,1,,,,,,,,,
2020-03-11,AFG,3,,,,,,,,,
2020-03-12,AFG,1,,,,,,,,,
2020-03-13,AFG,1,,,,,,,,,
2020-03-14,AFG,2,,,,,,,,,
2020-03-15,AFG,1,,,,,,,,,
2020-03-16,AFG,2,,,,,,,,,
2020-03-17,AFG,2,,,,,,,,,
2020-03-18,AFG,4,,,,,,,,,
2020-03-19,AFG,1,,,,,,,,,
2020-03-20,AFG,4,,,,,,,,,
2020-03-21,AFG,1,,,,,,,,,
2020-03-22,AFG,4,1,,,,,,,,
2020-03-23,AFG,7,0,,,,,,,,
2020-03-24,AFG,2,0,,,,,,,,
2020-03-25,AFG,33,1,,,,,,,,
2020-03-26,AFG,4,1,,,,,,,,
2020-03-27,AFG,11,0,,,,,,,,
2020-03-28,AFG,16,1,,,,,,,,
2020-03-29,AFG,11,0,1.44,,,,,,,
2020-03-30,AFG,28,0,1.45,,,,,,,
2020-03-31,AFG,29,0,1.45,,,,,,,
2020-04-01,AFG,22,0,1.45,,,,,,,
2020-04-02,AFG,43,0,1.45,,,,,,,
2020-04-03,AFG,35,4,1.44,,,,,,,
2020-04-04,AFG,25,2,1.43,,,,,,,
2020-04-05,AFG,38,2,1.43,,,,,,,
2020-04-06,AFG,30,3,1.42,,,,,,,
2020-04-07,AFG,56,1,1.42,,,,,,,
2020-04-08,AFG,21,0,1.4,,,,,,,
2020-04-09,AFG,40,1,1.4,,,,,,,
2020-04-10,AFG,47,1,1.4,,,,,,,
2020-04-11,AFG,24,0,1.39,,,,,,,
2020-04-12,AFG,52,1,1.4,,,,,,,
2020-04-13,AFG,58,3,1.4,,,,,,,
2020-04-14,AFG,49,1,1.4,,,,,,,
2020-04-15,AFG,70,6,1.4,,,,,,,
2020-04-16,AFG,56,1,1.4,,,,,,,
2020-04-17,AFG,66,0,1.39,,,,,,,
2020-04-18,AFG,27,0,1.39,,,,,,,
2020-04-19,AFG,63,3,1.39,,,,,,,
2020-04-20,AFG,30,3,1.4,,,,,,,
